instant,dteday,casual,registered
192,2011-07-11,723,3363
193,2011-07-12,662,3596
194,2011-07-13,748,3594
195,2011-07-14,888,4196
196,2011-07-15,1318,4220
197,2011-07-16,2418,3505
198,2011-07-17,2006,3296
199,2011-07-18,841,3617
200,2011-07-19,752,3789
201,2011-07-20,644,3688
202,2011-07-21,632,3152
203,2011-07-22,562,2825
204,2011-07-23,987,2298
205,2011-07-24,1050,2556
206,2011-07-25,568,3272
207,2011-07-26,750,3840
208,2011-07-27,755,3901
209,2011-07-28,606,3784
210,2011-07-29,670,3176
211,2011-07-30,1559,2916
212,2011-07-31,1524,2778
213,2011-08-01,729,3537
214,2011-08-02,801,4044
215,2011-08-03,467,3107
216,2011-08-04,799,3777
217,2011-08-05,1023,3843
218,2011-08-06,1521,2773
219,2011-08-07,1298,2487
220,2011-08-08,846,3480
221,2011-08-09,907,3695
222,2011-08-10,884,3896
223,2011-08-11,812,3980
224,2011-08-12,1051,3854
225,2011-08-13,1504,2646
226,2011-08-14,1338,2482
227,2011-08-15,775,3563
228,2011-08-16,721,4004
229,2011-08-17,668,4026
230,2011-08-18,639,3166
231,2011-08-19,797,3356
232,2011-08-20,1914,3277
233,2011-08-21,1249,2624
234,2011-08-22,833,3925
235,2011-08-23,1281,4614
236,2011-08-24,949,4181
237,2011-08-25,435,3107
238,2011-08-26,768,3893
239,2011-08-27,226,889
240,2011-08-28,1415,2919
241,2011-08-29,729,3905
242,2011-08-30,775,4429
243,2011-08-31,688,4370
244,2011-09-01,783,4332
245,2011-09-02,875,3852
246,2011-09-03,1935,2549
247,2011-09-04,2521,2419
248,2011-09-05,1236,2115
249,2011-09-06,204,2506
250,2011-09-07,118,1878
251,2011-09-08,153,1689
252,2011-09-09,417,3127
253,2011-09-10,1750,3595
254,2011-09-11,1633,3413
255,2011-09-12,690,4023
256,2011-09-13,701,4062
257,2011-09-14,647,4138
258,2011-09-15,428,3231
259,2011-09-16,742,4018
260,2011-09-17,1434,3077
261,2011-09-18,1353,2921
262,2011-09-19,691,3848
263,2011-09-20,438,3203
264,2011-09-21,539,3813
265,2011-09-22,555,4240
266,2011-09-23,258,2137
267,2011-09-24,1776,3647
268,2011-09-25,1544,3466
269,2011-09-26,684,3946
270,2011-09-27,477,3643
271,2011-09-28,480,3427
272,2011-09-29,653,4186
273,2011-09-30,830,4372
274,2011-10-01,480,1949
275,2011-10-02,616,2302
276,2011-10-03,330,3240
277,2011-10-04,486,3970
278,2011-10-05,559,4267
279,2011-10-06,639,4126
280,2011-10-07,949,4036
281,2011-10-08,2235,3174
282,2011-10-09,2397,3114
283,2011-10-10,1514,3603
284,2011-10-11,667,3896
285,2011-10-12,217,2199
286,2011-10-13,290,2623
287,2011-10-14,529,3115
288,2011-10-15,1899,3318
289,2011-10-16,1748,3293
290,2011-10-17,713,3857
291,2011-10-18,637,4111
292,2011-10-19,254,2170
293,2011-10-20,471,3724
294,2011-10-21,676,3628
295,2011-10-22,1499,2809
296,2011-10-23,1619,2762
297,2011-10-24,699,3488
298,2011-10-25,695,3992
299,2011-10-26,404,3490
300,2011-10-27,240,2419
301,2011-10-28,456,3291
302,2011-10-29,57,570
303,2011-10-30,885,2446
304,2011-10-31,362,3307
305,2011-11-01,410,3658
306,2011-11-02,370,3816
307,2011-11-03,318,3656
308,2011-11-04,470,3576
309,2011-11-05,1156,2770
310,2011-11-06,952,2697
311,2011-11-07,373,3662
312,2011-11-08,376,3829
313,2011-11-09,305,3804
314,2011-11-10,190,2743
315,2011-11-11,440,2928
316,2011-11-12,1275,2792
317,2011-11-13,1004,2713
318,2011-11-14,595,3891
319,2011-11-15,449,3746
320,2011-11-16,145,1672
321,2011-11-17,139,2914
322,2011-11-18,245,3147
323,2011-11-19,943,2720
324,2011-11-20,787,2733
325,2011-11-21,220,2545
326,2011-11-22,69,1538
327,2011-11-23,112,2454
328,2011-11-24,560,935
329,2011-11-25,1095,1697
330,2011-11-26,1249,1819
331,2011-11-27,810,2261
332,2011-11-28,253,3614
333,2011-11-29,96,2818
334,2011-11-30,188,3425
335,2011-12-01,182,3545
336,2011-12-02,268,3672
337,2011-12-03,706,2908
338,2011-12-04,634,2851
339,2011-12-05,233,3578
340,2011-12-06,126,2468
341,2011-12-07,50,655
342,2011-12-08,150,3172
343,2011-12-09,261,3359
344,2011-12-10,502,2688
345,2011-12-11,377,2366
346,2011-12-12,143,3167
347,2011-12-13,155,3368
348,2011-12-14,178,3562
349,2011-12-15,181,3528
350,2011-12-16,178,3399
351,2011-12-17,275,2464
352,2011-12-18,220,2211
353,2011-12-19,260,3143
354,2011-12-20,216,3534
355,2011-12-21,107,2553
356,2011-12-22,227,2841
357,2011-12-23,163,2046
358,2011-12-24,155,856
359,2011-12-25,303,451
360,2011-12-26,430,887
361,2011-12-27,103,1059
362,2011-12-28,255,2047
363,2011-12-29,254,2169
364,2011-12-30,491,2508
365,2011-12-31,665,1820
366,2012-01-01,686,1608
367,2012-01-02,244,1707
368,2012-01-03,89,2147
369,2012-01-04,95,2273
370,2012-01-05,140,3132
371,2012-01-06,307,3791
372,2012-01-07,1070,3451
373,2012-01-08,599,2826
374,2012-01-09,106,2270
375,2012-01-10,173,3425
376,2012-01-11,92,2085
377,2012-01-12,269,3828
378,2012-01-13,174,3040
379,2012-01-14,333,2160
380,2012-01-15,284,2027
381,2012-01-16,217,2081
382,2012-01-17,127,2808
383,2012-01-18,109,3267
384,2012-01-19,130,3162
385,2012-01-20,115,3048
386,2012-01-21,67,1234
387,2012-01-22,196,1781
388,2012-01-23,145,2287
389,2012-01-24,439,3900
390,2012-01-25,467,3803
391,2012-01-26,244,3831
392,2012-01-27,269,3187
393,2012-01-28,775,3248
394,2012-01-29,558,2685
395,2012-01-30,126,3498
396,2012-01-31,324,4185
397,2012-02-01,304,4275
398,2012-02-02,190,3571
399,2012-02-03,310,3841
400,2012-02-04,384,2448
401,2012-02-05,318,2629
402,2012-02-06,206,3578
403,2012-02-07,199,4176
404,2012-02-08,109,2693
405,2012-02-09,163,3667
406,2012-02-10,227,3604
407,2012-02-11,192,1977
408,2012-02-12,73,1456
409,2012-02-13,94,3328
410,2012-02-14,135,3787
411,2012-02-15,141,4028
412,2012-02-16,74,2931
413,2012-02-17,349,3805
414,2012-02-18,1435,2883
415,2012-02-19,618,2071
416,2012-02-20,502,2627
417,2012-02-21,163,3614
418,2012-02-22,394,4379
419,2012-02-23,516,4546
420,2012-02-24,246,3241
421,2012-02-25,317,2415
422,2012-02-26,515,2874
423,2012-02-27,253,4069
424,2012-02-28,229,4134
425,2012-02-29,65,1769
426,2012-03-01,325,4665
427,2012-03-02,246,2948
428,2012-03-03,956,3110
429,2012-03-04,710,2713
430,2012-03-05,203,3130
431,2012-03-06,221,3735
432,2012-03-07,432,4484
433,2012-03-08,486,4896
434,2012-03-09,447,4122
435,2012-03-10,968,3150
436,2012-03-11,1658,3253
437,2012-03-12,838,4460
438,2012-03-13,762,5085
439,2012-03-14,997,5315
440,2012-03-15,1005,5187
441,2012-03-16,548,3830
442,2012-03-17,3155,4681
443,2012-03-18,2207,3685
444,2012-03-19,982,5171
445,2012-03-20,1051,5042
446,2012-03-21,1122,5108
447,2012-03-22,1334,5537
448,2012-03-23,2469,5893
449,2012-03-24,1033,2339
450,2012-03-25,1532,3464
451,2012-03-26,795,4763
452,2012-03-27,531,4571
453,2012-03-28,674,5024
454,2012-03-29,834,5299
455,2012-03-30,796,4663
456,2012-03-31,2301,3934
457,2012-04-01,2347,3694
458,2012-04-02,1208,4728
459,2012-04-03,1348,5424
460,2012-04-04,1058,5378
461,2012-04-05,1192,5265
462,2012-04-06,1807,4653
463,2012-04-07,3252,3605
464,2012-04-08,2230,2939
465,2012-04-09,905,4680
466,2012-04-10,819,5099
467,2012-04-11,482,4380
468,2012-04-12,663,4746
469,2012-04-13,1252,5146
470,2012-04-14,2795,4665
471,2012-04-15,2846,4286
472,2012-04-16,1198,5172
473,2012-04-17,989,5702
474,2012-04-18,347,4020
475,2012-04-19,846,5719
476,2012-04-20,1340,5950
477,2012-04-21,2541,4083
478,2012-04-22,120,907
479,2012-04-23,195,3019
480,2012-04-24,518,5115
481,2012-04-25,655,5541
482,2012-04-26,475,4551
483,2012-04-27,1014,5219
484,2012-04-28,1120,3100
485,2012-04-29,2229,4075
486,2012-04-30,665,4907
487,2012-05-01,653,5087
488,2012-05-02,667,5502
489,2012-05-03,764,5657
490,2012-05-04,1069,5227
491,2012-05-05,2496,4387
492,2012-05-06,2135,4224
493,2012-05-07,1008,5265
494,2012-05-08,738,4990
495,2012-05-09,620,4097
496,2012-05-10,1026,5546
497,2012-05-11,1319,5711
498,2012-05-12,2622,4807
499,2012-05-13,2172,3946
500,2012-05-14,342,2501
501,2012-05-15,625,4490
502,2012-05-16,991,6433
503,2012-05-17,1242,6142
504,2012-05-18,1521,6118
505,2012-05-19,3410,4884
506,2012-05-20,2704,4425
507,2012-05-21,630,3729
508,2012-05-22,819,5254
509,2012-05-23,766,4494
510,2012-05-24,1059,5711
511,2012-05-25,1417,5317
512,2012-05-26,2855,3681
513,2012-05-27,3283,3308
514,2012-05-28,2557,3486
515,2012-05-29,880,4863
516,2012-05-30,745,6110
517,2012-05-31,1100,6238
518,2012-06-01,533,3594
519,2012-06-02,2795,5325
520,2012-06-03,2494,5147
521,2012-06-04,1071,5927
522,2012-06-05,968,6033
523,2012-06-06,1027,6028
524,2012-06-07,1038,6456
525,2012-06-08,1488,6248
526,2012-06-09,2708,4790
527,2012-06-10,2224,4374
528,2012-06-11,1017,5647
529,2012-06-12,477,4495
530,2012-06-13,1173,6248
531,2012-06-14,1180,6183
532,2012-06-15,1563,6102
533,2012-06-16,2963,4739
534,2012-06-17,2634,4344
535,2012-06-18,653,4446
536,2012-06-19,968,5857
537,2012-06-20,872,5339
538,2012-06-21,778,5127
539,2012-06-22,964,4859
540,2012-06-23,2657,4801
541,2012-06-24,2551,4340
542,2012-06-25,1139,5640
543,2012-06-26,1077,6365
544,2012-06-27,1077,6258
545,2012-06-28,921,5958
546,2012-06-29,829,4634
547,2012-06-30,1455,4232
548,2012-07-01,1421,4110
549,2012-07-02,904,5323
550,2012-07-03,1052,5608
551,2012-07-04,2562,4841
552,2012-07-05,1405,4836
553,2012-07-06,1366,4841
554,2012-07-07,1448,3392
555,2012-07-08,1203,3469
556,2012-07-09,998,5571
557,2012-07-10,954,5336
558,2012-07-11,975,6289
559,2012-07-12,1032,6414
560,2012-07-13,1511,5988
561,2012-07-14,2355,4614
562,2012-07-15,1920,4111
563,2012-07-16,1088,5742
564,2012-07-17,921,5865
565,2012-07-18,799,4914
566,2012-07-19,888,5703
567,2012-07-20,747,5123
568,2012-07-21,1264,3195
569,2012-07-22,2544,4866
570,2012-07-23,1135,5831
571,2012-07-24,1140,6452
572,2012-07-25,1383,6790
573,2012-07-26,1036,5825
574,2012-07-27,1259,5645
575,2012-07-28,2234,4451
576,2012-07-29,2153,4444
577,2012-07-30,1040,6065
578,2012-07-31,968,6248
579,2012-08-01,1074,6506
580,2012-08-02,983,6278
581,2012-08-03,1328,5847
582,2012-08-04,2345,4479
583,2012-08-05,1707,3757
584,2012-08-06,1233,5780
585,2012-08-07,1278,5995
586,2012-08-08,1263,6271
587,2012-08-09,1196,6090
588,2012-08-10,1065,4721
589,2012-08-11,2247,4052
590,2012-08-12,2182,4362
591,2012-08-13,1207,5676
592,2012-08-14,1128,5656
593,2012-08-15,1198,6149
594,2012-08-16,1338,6267
595,2012-08-17,1483,5665
596,2012-08-18,2827,5038
597,2012-08-19,1208,3341
598,2012-08-20,1026,5504
599,2012-08-21,1081,5925
600,2012-08-22,1094,6281
601,2012-08-23,1363,6402
602,2012-08-24,1325,6257
603,2012-08-25,1829,4224
604,2012-08-26,1483,3772
605,2012-08-27,989,5928
606,2012-08-28,935,6105
607,2012-08-29,1177,6520
608,2012-08-30,1172,6541
609,2012-08-31,1433,5917
610,2012-09-01,2352,3788
611,2012-09-02,2613,3197
612,2012-09-03,1965,4069
613,2012-09-04,867,5997
614,2012-09-05,832,6280
615,2012-09-06,611,5592
616,2012-09-07,1045,6459
617,2012-09-08,1557,4419
618,2012-09-09,2570,5657
619,2012-09-10,1118,6407
620,2012-09-11,1070,6697
621,2012-09-12,1050,6820
622,2012-09-13,1054,6750
623,2012-09-14,1379,6630
624,2012-09-15,3160,5554
625,2012-09-16,2166,5167
626,2012-09-17,1022,5847
627,2012-09-18,371,3702
628,2012-09-19,788,6803
629,2012-09-20,939,6781
630,2012-09-21,1250,6917
631,2012-09-22,2512,5883
632,2012-09-23,2454,5453
633,2012-09-24,1001,6435
634,2012-09-25,845,6693
635,2012-09-26,787,6946
636,2012-09-27,751,6642
637,2012-09-28,1045,6370
638,2012-09-29,2589,5966
639,2012-09-30,2015,4874
640,2012-10-01,763,6015
641,2012-10-02,315,4324
642,2012-10-03,728,6844
643,2012-10-04,891,6437
644,2012-10-05,1516,6640
645,2012-10-06,3031,4934
646,2012-10-07,781,2729
647,2012-10-08,874,4604
648,2012-10-09,601,5791
649,2012-10-10,780,6911
650,2012-10-11,834,6736
651,2012-10-12,1060,6222
652,2012-10-13,2252,4857
653,2012-10-14,2080,4559
654,2012-10-15,760,5115
655,2012-10-16,922,6612
656,2012-10-17,979,6482
657,2012-10-18,1008,6501
658,2012-10-19,753,4671
659,2012-10-20,2806,5284
660,2012-10-21,2132,4692
661,2012-10-22,830,6228
662,2012-10-23,841,6625
663,2012-10-24,795,6898
664,2012-10-25,875,6484
665,2012-10-26,1182,6262
666,2012-10-27,2643,5209
667,2012-10-28,998,3461
668,2012-10-29,2,20
669,2012-10-30,87,1009
670,2012-10-31,419,5147
671,2012-11-01,466,5520
672,2012-11-02,618,5229
673,2012-11-03,1029,4109
674,2012-11-04,1201,3906
675,2012-11-05,378,4881
676,2012-11-06,466,5220
677,2012-11-07,326,4709
678,2012-11-08,340,4975
679,2012-11-09,709,5283
680,2012-11-10,2090,4446
681,2012-11-11,2290,4562
682,2012-11-12,1097,5172
683,2012-11-13,327,3767
684,2012-11-14,373,5122
685,2012-11-15,320,5125
686,2012-11-16,484,5214
687,2012-11-17,1313,4316
688,2012-11-18,922,3747
689,2012-11-19,449,5050
690,2012-11-20,534,5100
691,2012-11-21,615,4531
692,2012-11-22,955,1470
693,2012-11-23,1603,2307
694,2012-11-24,532,1745
695,2012-11-25,309,2115
696,2012-11-26,337,4750
697,2012-11-27,123,3836
698,2012-11-28,198,5062
699,2012-11-29,243,5080
700,2012-11-30,362,5306
701,2012-12-01,951,4240
702,2012-12-02,892,3757
703,2012-12-03,555,5679
704,2012-12-04,551,6055
705,2012-12-05,331,5398
706,2012-12-06,340,5035
707,2012-12-07,349,4659
708,2012-12-08,1153,4429
709,2012-12-09,441,2787
710,2012-12-10,329,4841
711,2012-12-11,282,5219
712,2012-12-12,310,5009
713,2012-12-13,425,5107
714,2012-12-14,429,5182
715,2012-12-15,767,4280
716,2012-12-16,538,3248
717,2012-12-17,212,4373
718,2012-12-18,433,5124
719,2012-12-19,333,4934
720,2012-12-20,314,3814
721,2012-12-21,221,3402
722,2012-12-22,205,1544
723,2012-12-23,408,1379
724,2012-12-24,174,746
725,2012-12-25,440,573
726,2012-12-26,9,432
727,2012-12-27,247,1867
728,2012-12-28,644,2451
729,2012-12-29,159,1182
730,2012-12-30,364,1432
731,2012-12-31,439,2290
